Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
-17.0055;27.9555;1997;Stenella frontalis;17326;2312;1997-03-12T11:51:38;POINT(-17.0055 27.9555)
-17.961667;27.595;1997;Stenella frontalis;5205;1468;1997-03-20T17:11:05;POINT(-17.961667 27.595)
-13.31785;29.1345;1995;Stenella frontalis;10893;1294.8;1995-01-29T15:00:00;POINT(-13.31785 29.1345)
-16.9495;28.032833;1996;Stenella frontalis;16192;1954.5;1996-04-05T12:44:57;POINT(-16.9495 28.032833)
-16.8195;28.0195;1996;Stenella frontalis;8993;1831;1996-04-07T11:33:56;POINT(-16.8195 28.0195)
-16.7385;27.971833;1996;Stenella frontalis;5071;1528;1996-04-07T10:26:01;POINT(-16.7385 27.971833)
-17.196;27.912667;1997;Stenella frontalis;12365;2031;1997-03-12T15:19:10;POINT(-17.196 27.912667)
-13.500833;28.916733;1995;Stenella frontalis;5820;1002.6;1995-02-01T10:15:00;POINT(-13.500833 28.916733)
-17.169167;27.9525;1997;Stenella frontalis;8448;1710.5;1997-02-05T13:34:12;POINT(-17.169167 27.9525)
-17.239;27.989;1996;Stenella frontalis;3449;497;1996-04-02T15:04:33;POINT(-17.239 27.989)
-16.718167;27.984833;1996;Stenella frontalis;2671;989;1996-04-07T09:50:02;POINT(-16.718167 27.984833)
-13.68465;28.8838;1994;Stenella frontalis;3939;755;1994-12-21T14:40:00;POINT(-13.68465 28.8838)
-13.317933;29.2014;1994;Stenella frontalis;8342;845.4;1994-12-18T14:24:00;POINT(-13.317933 29.2014)
-17.22;27.903333;1997;Stenella frontalis;13151;2137.5;1997-03-09T12:20:18;POINT(-17.22 27.903333)
-13.334433;29.18405;1994;Stenella frontalis;8316;1057.6;1994-12-18T14:00:00;POINT(-13.334433 29.18405)
-17.1955;27.9455;1997;Stenella frontalis;8717;1664.5;1997-03-21T10:19:05;POINT(-17.1955 27.9455)
-16.831167;27.997833;1996;Stenella frontalis;11204;2273;1996-04-08T12:14:33;POINT(-16.831167 27.997833)
-17.2173;27.9673;1997;Stenella frontalis;6354;1458;1997-01-05T13:20:00;POINT(-17.2173 27.9673)
-17.217533;27.917533;1997;Stenella frontalis;11651;1803;1997-03-09T14:12:44;POINT(-17.217533 27.917533)
-17.076;28.026;1996;Stenella frontalis;6877;893;1996-03-18T12:00:58;POINT(-17.076 28.026)
-17.082833;27.9995;1997;Stenella frontalis;8635;1745;1997-02-06T15:24:06;POINT(-17.082833 27.9995)
-17.185833;27.9525;1997;Stenella frontalis;8039;1628.5;1997-03-05T11:37:11;POINT(-17.185833 27.9525)
-13.25045;29.0334;1995;Stenella frontalis;20096;1317.4;1995-01-18T12:30:00;POINT(-13.25045 29.0334)
-13.317083;29.083917;1995;Stenella frontalis;12688;1255;1995-01-29T13:50:00;POINT(-13.317083 29.083917)
-17.201833;27.951833;1997;Stenella frontalis;7996;1662.5;1997-03-12T16:46:22;POINT(-17.201833 27.951833)
-17.940167;27.606833;1997;Stenella frontalis;5188;1762;1997-03-20T17:31:30;POINT(-17.940167 27.606833)
-16.796667;27.996667;1996;Stenella frontalis;8683;1872;1996-04-07T11:11:24;POINT(-16.796667 27.996667)
-13.333533;29.133667;1994;Stenella frontalis;9493;1283.6;1994-12-08T13:50:00;POINT(-13.333533 29.133667)
-13.383667;29.01805;1994;Stenella frontalis;7801;1175.4;1994-12-18T11:30:00;POINT(-13.383667 29.01805)
-13.416917;28.918117;1995;Stenella frontalis;10675;1305.4;1995-01-29T10:30:00;POINT(-13.416917 28.918117)
-17.219167;27.969167;1997;Stenella frontalis;6106;1392.5;1997-03-15T12:29:09;POINT(-17.219167 27.969167)
-13.567183;28.85015;1994;Stenella frontalis;10191;1093.4;1994-12-30T12:45:00;POINT(-13.567183 28.85015)
-16.815833;28.015833;1996;Stenella frontalis;8864;1889;1996-04-08T11:42:05;POINT(-16.815833 28.015833)
-17.235167;27.9685;1997;Stenella frontalis;5759;1128;1997-03-21T08:54:13;POINT(-17.235167 27.9685)
-13.350367;29.13415;1994;Stenella frontalis;7907;1262;1994-12-08T14:50:00;POINT(-13.350367 29.13415)
-17.153167;28.0365;1996;Stenella frontalis;1168;184.5;1996-02-28T16:02:53;POINT(-17.153167 28.0365)
-17.143833;28.027167;1997;Stenella frontalis;2517;481.5;1997-03-10T10:55:07;POINT(-17.143833 28.027167)
-13.4001;28.867983;1994;Stenella frontalis;16189;1321;1994-12-30T11:00:00;POINT(-13.4001 28.867983)
-16.968667;28.002;1996;Stenella frontalis;16444;2218;1996-04-08T14:26:15;POINT(-16.968667 28.002)
-15.467;27.494;2019;Stenella frontalis;28829;2714.8;2019-09-01T13:51:00;POINT(-15.467 27.494)
-15.467;27.494;2019;Stenella frontalis;28829;2714.8;2019-09-01T13:51:00;POINT(-15.467 27.494)
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-03;
-15.82833333;27.76666667;2015;Stenella frontalis;8151;169.6;2015-03;
-15.80194444;27.70166667;2013;Stenella frontalis;12220;571;2013-07;
-15.8175;27.71805556;2013;Stenella frontalis;11846;654;2013-07;
-15.81777778;27.68555556;2013;Stenella frontalis;14592;1089.4;2013-07;
-15.70016223;28.15346208;2013;Stenella frontalis;42;13.6;2013-08;
-15.78555556;27.66861111;2013;Stenella frontalis;13846;950.4;2013-08;
-15.785;27.6675;2013;Stenella frontalis;13895;867.4;2013-08;
-15.7475;27.66555556;2013;Stenella frontalis;11744;510.8;2013-08;
-15.76666667;27.6675;2013;Stenella frontalis;12691;580.2;2013-08;
-15.80138889;27.70055556;2013;Stenella frontalis;12284;571;2013-08;
-15.78361111;27.66888889;2013;Stenella frontalis;13689;824;2013-08;
-15.83472222;27.73472222;2013;Stenella frontalis;11235;803.4;2013-08;
-15.85055556;27.75166667;2013;Stenella frontalis;10893;802.8;2013-08;
-15.80166667;27.71916667;2013;Stenella frontalis;10734;412.8;2013-08;
-15.80055556;27.71888889;2013;Stenella frontalis;10680;412.8;2013-09;
-15.835;27.75055556;2013;Stenella frontalis;9886;569.8;2013-09;
-15.7675;27.68416667;2013;Stenella frontalis;11366;425;2013-09;
-15.83472222;27.73333333;2013;Stenella frontalis;11360;817.4;2013-09;
-15.76666667;27.65138889;2013;Stenella frontalis;14131;910.4;2013-09;
-15.81694444;27.7025;2013;Stenella frontalis;13113;814.4;2013-09;
-15.75222222;27.66777778;2013;Stenella frontalis;11825;547.8;2013-10;
-15.8;27.68388889;2013;Stenella frontalis;13728;767.8;2013-10;
-15.85;27.82777778;2013;Stenella frontalis;5780;97;2013-10;
-15.86666667;27.72027778;2013;Stenella frontalis;14474;1762.2;2013-10;
-15.80055556;27.68972222;2013;Stenella frontalis;13215;648.4;2013-10;
-15.82472222;27.65583333;2013;Stenella frontalis;17667;1553.8;2013-10;
-15.81361111;27.66611111;2013;Stenella frontalis;16097;1343.4;2013-10;
-15.78944444;27.66166667;2013;Stenella frontalis;14665;1024.4;2013-10;
-15.7;27.6525;2013;Stenella frontalis;11026;599.8;2013-10;
-15.85055556;27.71833333;2013;Stenella frontalis;13627;1443;2013-11;
-15.73361111;27.76694444;2013;Stenella frontalis;2426;36.2;2013-11;
-15.80083333;27.66722222;2013;Stenella frontalis;15052;1108.8;2013-11;
-15.78361111;27.65;2013;Stenella frontalis;15254;921.4;2013-11;
-15.81777778;27.68333333;2013;Stenella frontalis;14786;1153.8;2013-11;
-15.75083333;27.68388889;2013;Stenella frontalis;10294;356.8;2013-12;
-15.80083333;27.71861111;2014;Stenella frontalis;10721;426.2;2014-01;
-15.83527778;27.76666667;2014;Stenella frontalis;8667;286.4;2014-01;
-15.73388889;27.68361111;2014;Stenella frontalis;9337;310.4;2014-01;
-15.80166667;27.71666667;2014;Stenella frontalis;10935;426.2;2014-01;
-15.85138889;27.66861111;2014;Stenella frontalis;18181;1764.8;2014-01;
-15.78555556;27.71666667;2014;Stenella frontalis;9915;308.8;2014-01;
-15.75222222;27.66722222;2014;Stenella frontalis;11877;547.8;2014-01;
-15.80083333;27.71805556;2014;Stenella frontalis;10766;426.2;2014-01;
-15.82361111;27.71527778;2014;Stenella frontalis;12468;778.8;2014-01;
-15.67416667;27.65444444;2014;Stenella frontalis;10417;822.8;2014-01;
-15.76805556;27.66861111;2014;Stenella frontalis;12682;580.2;2014-01;
-15.70083333;27.6525;2014;Stenella frontalis;11045;602.2;2014-01;
-15.65027778;27.65166667;2014;Stenella frontalis;10512;1184.4;2014-01;
-15.65388889;27.67083333;2014;Stenella frontalis;8605;493.4;2014-02;
-15.73444444;27.68361111;2014;Stenella frontalis;9371;310.4;2014-02;
-15.8675;27.76833333;2014;Stenella frontalis;10779;834;2014-02;
-15.76833333;27.6525;2014;Stenella frontalis;14123;884.4;2014-02;
-16.07138889;27.96916667;2014;Stenella frontalis;23249;1972.8;2014-02;
-15.73472222;27.7675;2014;Stenella frontalis;2444;36.2;2014-02;
-15.82666667;28.00027778;2014;Stenella frontalis;566;17.6;2014-02;
-15.38168943;27.87315792;2014;Stenella frontalis;82;75;2014-02;
-15.71694444;27.66722222;2014;Stenella frontalis;10020;396.2;2014-02;
-15.85222222;27.73527778;2014;Stenella frontalis;12284;1147.8;2014-02;
-16.0275;27.99166667;2014;Stenella frontalis;19078;1739.6;2014-03;
-15.81833333;27.68416667;2014;Stenella frontalis;14747;1105.8;2014-03;
-15.80138889;27.70138889;2014;Stenella frontalis;12211;571;2014-03;
-15.94944444;27.72583333;2014;Stenella frontalis;20002;2575.8;2014-03;
-15.81805556;27.70083333;2014;Stenella frontalis;13323;820.8;2014-03;
-15.80166667;27.68472222;2014;Stenella frontalis;13739;781;2014-03;
-15.81833333;27.70138889;2014;Stenella frontalis;13296;820.8;2014-03;
-15.90861111;27.92555556;2014;Stenella frontalis;7348;104.4;2014-03;
-13.81219625;28.78405956;2014;Stenella frontalis;2024;35;2014-09;
-15.80166667;27.73833333;2015;Stenella frontalis;9116;199.8;2015-01;
-15.865;27.78666667;2015;Stenella frontalis;9300;883.8;2015-01;
-15.84;27.73333333;2015;Stenella frontalis;11670;878.4;2015-01;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-01;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-02;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-02;
-15.89;27.82833333;2015;Stenella frontalis;9391;569.4;2015-02;
-15.77166667;27.715;2015;Stenella frontalis;9290;177;2015-02;
-15.88166667;27.76666667;2015;Stenella frontalis;11951;1377.8;2015-02;
-15.38134754;27.87618332;2015;Stenella frontalis;5;69;2015-02;
-15.78166667;27.65666667;2015;Stenella frontalis;14562;879.8;2015-02;
-15.68833333;27.66;2015;Stenella frontalis;9972;526.4;2015-02;
-15.79166667;27.73833333;2015;Stenella frontalis;8488;111.4;2015-03;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-03;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-03;
-15.74821472;28.06834504;2015;Stenella frontalis;1423;52.4;2015-03;
-17.97637939;28.61044545;2015;Stenella frontalis;4378;153.5;2015-03;
-15.81;27.735;2015;Stenella frontalis;9938;375.2;2015-03;
-17.97856539;27.63851411;2015;Stenella frontalis;88;-2;2015-03;
-13.67013305;28.91887975;2015;Stenella frontalis;37;-19;2015-04;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-04;
-15.69886073;28.15322795;2015;Stenella frontalis;5;-57;2015-04;
-15.40109396;28.1719774;2015;Stenella frontalis;78;-23;2015-04;
-13.66696;28.91783735;2015;Stenella frontalis;142;-19;2015-04;
-15.84;27.71333333;2015;Stenella frontalis;13496;954.4;2015-04;
-13.66951615;28.91805804;2015;Stenella frontalis;68;-19;2015-04;
-15.69666667;27.65833333;2015;Stenella frontalis;10321;538.4;2015-04;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-04;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-04;
-13.66951615;28.91805804;2015;Stenella frontalis;68;-19;2015-04;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-04;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-04;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-04;
-15.70022665;28.16291167;2015;Stenella frontalis;-35;-29;2015-05;
-15.38543791;27.87103346;2015;Stenella frontalis;36;-30;2015-05;
-15.50418634;28.1701617;2015;Stenella frontalis;2426;196.4;2015-05;
-13.67077142;28.91865907;2015;Stenella frontalis;85;-19;2015-05;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-05;
-15.38134754;27.87618332;2015;Stenella frontalis;5;69;2015-05;
-15.73666667;27.735;2015;Stenella frontalis;5348;51;2015-05;
-15.77833333;27.71833333;2015;Stenella frontalis;9354;238;2015-05;
-17.98178673;27.63913191;2015;Stenella frontalis;26;-2;2015-05;
-17.98953295;27.6337332;2015;Stenella frontalis;492;38.5;2015-05;
-13.84352446;28.85643896;2015;Stenella frontalis;179;5;2015-05;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-05;
-15.69886073;28.15322795;2015;Stenella frontalis;5;-57;2015-05;
-15.76976895;27.81873383;2015;Stenella frontalis;35;-52;2015-05;
-15.81333333;27.655;2015;Stenella frontalis;16875;1361.8;2015-05;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-05;
-15.38187124;27.87399608;2015;Stenella frontalis;8;75;2015-05;
-13.66860151;28.91881402;2015;Stenella frontalis;25;-19;2015-05;
-16.76885962;28.11233857;2015;Stenella frontalis;33;-5;2015-05;
-15.42143047;27.82461678;2015;Stenella frontalis;100;-3;2015-05;
-16.4385134;28.14278653;2015;Stenella frontalis;-7;-18;2015-06;
-15.73444444;27.65194444;2015;Stenella frontalis;12312;667.8;2015-08;
-16.97937012;27.91780254;2017;Stenella frontalis;22200;2737;2017-04;
-13.56532;31.42558;2015;Stenella frontalis;223521;3067;2015-06-13;LINESTRING (-13.52898 31.49357, -13.56564 31.42496)
-15.52398;28.84831;2015;Stenella frontalis;66332;3607.2;2015-07-20;MULTIPOINT ( (-22.92 16.18),  (-8.7 41.19))
-15.3332;27.70806;2016;Stenella frontalis;14140;1634;2016-09-25;MULTIPOINT ( (-15.42 28.14),  (-16.03 17.99))
-15.4006;27.65868;2016;Stenella frontalis;15965;1863.4;2016-08-06;MULTIPOINT ( (-15.42 28.14),  (-22.98 16.75))
-13.69084;30.55618;2016;Stenella frontalis;127986;2688;2016-09-03;LINESTRING (-13.71726 30.50291, -13.69084 30.55618)
-17.44992;25.93599;2015;Stenella frontalis;196537;3482;2015-06-05;MULTIPOINT ( (-22.92 16.18),  (-8.7 41.19))
-15.3182;28.00707;2015;Stenella frontalis;4773;621;2015-07-07;LINESTRING (-15.40239 28.1158, -15.38533 28.10269, -15.3182 28.00707)
-15.52383;28.84792;2015;Stenella frontalis;66325;3607.2;2015-09-02;LINESTRING (-15.58732 28.72012, -15.52383 28.84792)
-16.2643;26.77717;2016;Stenella frontalis;122795;3455;2016-08-17;LINESTRING (-16.75345 26.23559, -16.41134 26.63069, -16.2643 26.77717)
-15.26921;28.01613;2016;Stenella frontalis;9651;1026;2016-08-17;LINESTRING (-15.259 28.00833, -15.26921 28.01613)
-15.29539;28.03207;2016;Stenella frontalis;8041;932.8;2016-09-13;MULTIPOINT ( (-15.42 28.14),  (-22.98 16.75))
-15.2773;28.00523;2016;Stenella frontalis;8593;936.4;2016-09-25;LINESTRING (-15.40235 28.11344, -15.29604 28.03326, -15.2773 28.00523)
-15.69899;27.24349;2016;Stenella frontalis;55491;3111.4;2016-10-16;LINESTRING (-15.65484 27.30331, -15.69899 27.24349)
-15.74919;28.51118;2017;Stenella frontalis;36470;3572.4;2017-09-24;LINESTRING (-15.75058 28.50968, -15.74919 28.51118)
-13.64433;31.27066;2015;Stenella frontalis;206646;2138;2015-06-13;LINESTRING (-13.61401 31.33168, -13.64463 31.27002)
-14.86692;28.20169;2015;Stenella frontalis;37737;1659.6;2015-06-29;LINESTRING (-14.89738 28.12644, -14.86677 28.20202)
-13.29397;31.96962;2015;Stenella frontalis;284663;2941;2015-06-30;LINESTRING (-13.65564 31.11574, -13.29397 31.96962)
-13.95327;30.72352;2015;Stenella frontalis;151507;2897;2015-09-10;MULTIPOINT ( (-9.15 38.7),  (-15.42 28.14))
-15.40578;27.64773;2015;Stenella frontalis;17069;1971.8;2015-09-11;LINESTRING (-15.39447 28.11002, -15.36822 28.08293, -15.31866 28.00257, -15.31466 27.86831, -15.40602 27.64717)
-15.40454;27.718;2016;Stenella frontalis;9474;537;2016-02-16;MULTIPOINT ( (-15.42 28.14),  (-22.98 16.75))
-14.12402;30.82497;2016;Stenella frontalis;167406;3001;2016-08-05;MULTIPOINT ( (-8.7 41.19),  (-15.42 28.14))
-15.71828;27.23243;2016;Stenella frontalis;57064;3135;2016-08-19;MULTIPOINT ( (-15.42 28.14),  (-22.98 16.75))
-13.72868;30.47999;2016;Stenella frontalis;120181;2769.4;2016-09-03;LINESTRING (-13.77793 30.38337, -13.72868 30.47999)
-14.37813;29.21139;2016;Stenella frontalis;57889;3446.8;2016-10-08;LINESTRING (-14.98141 27.91443, -14.82945 28.29884, -14.59619 28.8373, -14.51432 28.99128, -14.37813 29.21139)
-15.32206;28.2578;2016;Stenella frontalis;11932;2558.8;2016-11-14;LINESTRING (-15.31797 28.26722, -15.32206 28.2578)
-15.76075;28.49936;2017;Stenella frontalis;35552;3542.8;2017-09-24;LINESTRING (-16.16552 28.07673, -15.76075 28.49936)
